date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C6_Stay at home requirements
10.05.20,2.0,3.0,2.0,4.0,2.0
11.05.20,2.0,2.0,2.0,4.0,2.0
12.05.20,2.0,2.0,2.0,4.0,2.0
13.05.20,2.0,2.0,2.0,4.0,2.0
14.05.20,2.0,2.0,2.0,4.0,2.0
15.05.20,2.0,2.0,2.0,4.0,2.0
16.05.20,2.0,2.0,2.0,4.0,2.0
17.05.20,2.0,2.0,2.0,4.0,2.0
18.05.20,2.0,2.0,2.0,4.0,2.0
19.05.20,2.0,2.0,2.0,4.0,2.0
20.05.20,2.0,2.0,2.0,4.0,2.0
21.05.20,2.0,2.0,2.0,4.0,2.0
22.05.20,2.0,2.0,2.0,4.0,2.0
23.05.20,2.0,2.0,2.0,4.0,2.0
24.05.20,2.0,2.0,2.0,4.0,2.0
25.05.20,2.0,2.0,2.0,4.0,2.0
26.05.20,2.0,2.0,2.0,4.0,2.0
27.05.20,2.0,2.0,2.0,4.0,2.0
28.05.20,2.0,2.0,2.0,4.0,2.0
29.05.20,2.0,2.0,2.0,4.0,2.0
30.05.20,2.0,2.0,2.0,4.0,2.0
31.05.20,2.0,2.0,2.0,4.0,2.0
01.06.20,2.0,2.0,2.0,4.0,2.0
02.06.20,2.0,2.0,2.0,4.0,2.0
03.06.20,2.0,2.0,2.0,4.0,2.0
04.06.20,2.0,2.0,2.0,4.0,2.0
05.06.20,2.0,2.0,2.0,4.0,2.0
06.06.20,2.0,2.0,2.0,4.0,2.0
07.06.20,2.0,2.0,2.0,4.0,2.0
08.06.20,2.0,2.0,2.0,3.0,0.0
09.06.20,2.0,2.0,2.0,3.0,0.0
10.06.20,2.0,2.0,2.0,3.0,0.0
11.06.20,2.0,2.0,2.0,3.0,0.0
12.06.20,2.0,2.0,2.0,3.0,0.0
13.06.20,2.0,2.0,2.0,3.0,0.0
14.06.20,2.0,2.0,2.0,3.0,0.0
15.06.20,2.0,2.0,2.0,3.0,0.0
16.06.20,2.0,2.0,2.0,3.0,0.0
17.06.20,2.0,2.0,2.0,3.0,0.0
18.06.20,2.0,2.0,2.0,3.0,0.0
19.06.20,2.0,2.0,2.0,3.0,0.0
20.06.20,2.0,2.0,2.0,3.0,0.0
21.06.20,2.0,2.0,2.0,3.0,0.0
22.06.20,2.0,2.0,2.0,3.0,0.0
23.06.20,2.0,2.0,2.0,3.0,0.0
24.06.20,2.0,2.0,2.0,3.0,0.0
25.06.20,2.0,2.0,2.0,3.0,0.0
26.06.20,2.0,2.0,2.0,3.0,0.0
27.06.20,2.0,2.0,2.0,3.0,0.0
28.06.20,2.0,2.0,2.0,3.0,0.0
29.06.20,2.0,2.0,2.0,3.0,0.0
30.06.20,2.0,2.0,2.0,3.0,0.0
01.07.20,1.0,2.0,2.0,3.0,0.0
02.07.20,1.0,2.0,2.0,3.0,0.0
03.07.20,1.0,2.0,2.0,3.0,0.0
04.07.20,1.0,2.0,2.0,3.0,0.0
05.07.20,1.0,2.0,2.0,3.0,0.0
06.07.20,1.0,2.0,2.0,3.0,0.0
07.07.20,1.0,2.0,2.0,3.0,0.0
08.07.20,1.0,2.0,2.0,3.0,0.0
09.07.20,1.0,2.0,2.0,3.0,0.0
10.07.20,1.0,2.0,2.0,3.0,0.0
11.07.20,1.0,2.0,2.0,3.0,0.0
12.07.20,1.0,2.0,2.0,3.0,0.0
13.07.20,1.0,2.0,2.0,3.0,0.0
14.07.20,1.0,2.0,2.0,3.0,0.0
15.07.20,1.0,2.0,2.0,3.0,0.0
16.07.20,1.0,2.0,2.0,3.0,0.0
17.07.20,1.0,2.0,2.0,3.0,0.0
18.07.20,1.0,2.0,2.0,3.0,0.0
19.07.20,1.0,2.0,2.0,3.0,0.0
20.07.20,1.0,2.0,2.0,3.0,0.0
21.07.20,1.0,2.0,2.0,3.0,0.0
22.07.20,1.0,2.0,2.0,3.0,0.0
23.07.20,1.0,2.0,2.0,3.0,0.0
24.07.20,1.0,2.0,2.0,3.0,0.0
25.07.20,1.0,2.0,2.0,3.0,0.0
26.07.20,1.0,2.0,2.0,3.0,0.0
27.07.20,1.0,2.0,2.0,3.0,0.0
28.07.20,1.0,2.0,2.0,3.0,0.0
29.07.20,1.0,3.0,2.0,4.0,2.0
30.07.20,1.0,3.0,2.0,4.0,2.0
31.07.20,1.0,3.0,2.0,4.0,2.0
01.08.20,1.0,3.0,2.0,4.0,2.0
02.08.20,1.0,3.0,2.0,4.0,2.0
03.08.20,1.0,3.0,2.0,4.0,2.0
04.08.20,1.0,3.0,2.0,4.0,2.0
05.08.20,1.0,3.0,2.0,4.0,2.0
06.08.20,1.0,3.0,2.0,4.0,2.0
07.08.20,1.0,3.0,2.0,4.0,1.0
08.08.20,1.0,3.0,2.0,4.0,1.0
09.08.20,1.0,3.0,2.0,4.0,1.0
10.08.20,1.0,3.0,2.0,4.0,1.0
11.08.20,1.0,3.0,2.0,4.0,1.0
12.08.20,1.0,2.0,2.0,4.0,2.0
13.08.20,1.0,2.0,2.0,4.0,2.0
14.08.20,1.0,2.0,2.0,4.0,2.0
15.08.20,1.0,2.0,2.0,4.0,2.0
